47338	1	0.9436732088	289 290
40300	1	0.9430454644	12730 2742
42322	1	0.9420899093	2844 2392
52703	1	0.9420109984	4185 1376
33837	1	0.9416506900	10016 2196
49843	1	0.9410851214	3121 116
35950	0	0.9410025677	7344 1962
50101	0	0.9409702881	10074 1651
51307	1	0.9406148888	4781 4269
46806	0	0.9402372369	284 356
33405	1	0.9398333730	11537 2538
48632	0	0.9397965458	22215 3878
41703	0	0.9395459646	650 2640
52133	0	0.9392070966	6786 1605
35209	0	0.9372250657	7344 1361
40624	1	0.9370771384	3536 5266
52232	1	0.9370032223	9206 9207
36958	1	0.9369271692	4755 967
40041	0	0.9367474166	4279 7334
46812	0	0.9365034432	440 556
39702	0	0.9364918113	4656 934
52576	0	0.9362517464	6786 9200
33366	1	0.9357723042	19107 3250
36755	0	0.9356483294	2156 1004
34564	1	0.9356261594	7678 116
44038	1	0.9346234373	2538 10379
40980	0	0.9345122883	1063 6547
51696	0	0.9343752184	4344 807
34378	0	0.9334168695	5965 22233
37439	1	0.9333980495	3101 3072
48645	1	0.9332018745	3209 543
34629	0	0.9331008274	8724 7215
41344	0	0.9328755523	141 5621
40302	0	0.9328269479	12731 3406
42252	1	0.9328091797	1212 12826
34101	0	0.9327857871	20188 668
34379	1	0.9321343894	9471 3476
36863	1	0.9319692017	1384 4444
40719	1	0.9319165030	650 4269
48988	1	0.9316138336	133 147
33674	1	0.9312629302	943 27
45249	1	0.9311790604	749 750
36007	1	0.9311096471	6749 811
46160	0	0.9311089771	1984 3954
38991	0	0.9308722920	7334 4392
34342	0	0.9304058278	9179 9360
50010	0	0.9303693183	1045 267
40737	1	0.9302465485	2702 1938
35225	1	0.9301996710	7042 1421
35879	0	0.9301279494	999 6655
41536	0	0.9301061613	2673 1004
40541	1	0.9297721932	3902 3476
36942	0	0.9296511783	1386 8412
35958	0	0.9296255400	6261 12157
36185	1	0.9294060556	6261 703
61219	1	0.9293759776	692 680 964
42614	1	0.9293740788	2702 84
34613	0	0.9292965243	9220 1064
38960	0	0.9292122447	3135 3322
42582	0	0.9291452783	2621 297
36857	0	0.9288895940	1386 1545
43228	0	0.9286838352	1376 1299
54257	1	0.9286036992	3447 868
53187	0	0.9284385850	3 9205
41639	0	0.9283440885	291 666
45136	1	0.9283402977	748 5690
36357	1	0.9282784140	3101 934
42206	0	0.9281600610	651 646
34324	0	0.9277792233	9179 4986
33210	0	0.9277196633	20225 5209
61060	1	0.9276990950	2602 2978 10756
34846	0	0.9275888898	12001 141
42535	0	0.9272036459	2540 1421
36094	0	0.9268556313	15907 1303
36401	0	0.9267317374	2819 632
34777	0	0.9267191901	10325 1938
52776	0	0.9266058744	3485 13024
41132	1	0.9264503914	214 447
40272	0	0.9264159882	11957 2570
39610	0	0.9263608714	4279 12792
33799	0	0.9263007258	10980 1570
34514	0	0.9260457384	1573 3297
33545	1	0.9260339169	943 116
